16.5254364014,80.5990829468
16.5254955292,80.5990982056
16.5255146027,80.5990905762
16.5255165100,80.5990829468
16.5255203247,80.5990829468
16.5255298615,80.5990829468
16.5255222321,80.5990905762
16.5255298615,80.5991134644
16.5255451202,80.5991134644
16.5255508423,80.5991058350
16.5255565643,80.5991058350
16.5255641937,80.5991134644
16.5255489349,80.5990905762
16.5255508423,80.5991058350
16.5255451202,80.5990982056
16.5255508423,80.5991058350
16.5255451202,80.5991058350
16.5255413055,80.5991058350
16.5255374908,80.5991134644
16.5255355835,80.5991134644
16.5255012512,80.5991134644
16.5255031586,80.5991210938
16.5255088806,80.5991210938
16.5255126953,80.5991287231
16.5255126953,80.5991210938
16.5255107880,80.5991134644
16.5255107880,80.5991134644
16.5255050659,80.5991134644
16.5254955292,80.5991210938
16.5254859924,80.5991134644
16.5254802704,80.5991058350
16.5254421234,80.5990829468
16.5254116058,80.5990676880
16.5254058838,80.5991134644
16.5253982544,80.5991210938
16.5254096985,80.5991210938
16.5254058838,80.5991134644
16.5254077911,80.5991058350
16.5254001617,80.5990905762
16.5254154205,80.5991058350
16.5254154205,80.5991058350
16.58233,86.2233616.58233,86.22336,
16.58233,86.22336,'YES'
16.58233,86.22336,'YES'
16.58233,86.22336,YES
